 Group 4- Pressure Ulcers      ONLY 1 CODE NEEDED                                                                                                                                                                       ,,,,,,,,,,,,,,,,,,,,,,,,,
L89.000,"Pressure ulcer of unspecified elbow, unstageable",,,,,,,,,,,,,,,,,,,,,,,,
L89.001,"Pressure ulcer of unspecified elbow, stage 1",,,,,,,,,,,,,,,,,,,,,,,,
L89.002,"Pressure ulcer of unspecified elbow, stage 2",,,,,,,,,,,,,,,,,,,,,,,,
L89.003,"Pressure ulcer of unspecified elbow, stage 3",,,,,,,,,,,,,,,,,,,,,,,,
L89.004,"Pressure ulcer of unspecified elbow, stage 4",,,,,,,,,,,,,,,,,,,,,,,,
L89.009,"Pressure ulcer of unspecified elbow, unspecified stage",,,,,,,,,,,,,,,,,,,,,,,,
L89.010,"Pressure ulcer of right elbow, unstageable",,,,,,,,,,,,,,,,,,,,,,,,
L89.011,"Pressure ulcer of right elbow, stage 1",,,,,,,,,,,,,,,,,,,,,,,,
L89.012,"Pressure ulcer of right elbow, stage 2",,,,,,,,,,,,,,,,,,,,,,,,
L89.013,"Pressure ulcer of right elbow, stage 3",,,,,,,,,,,,,,,,,,,,,,,,
L89.014,"Pressure ulcer of right elbow, stage 4",,,,,,,,,,,,,,,,,,,,,,,,
L89.019,"Pressure ulcer of right elbow, unspecified stage",,,,,,,,,,,,,,,,,,,,,,,,
L89.020,"Pressure ulcer of left elbow, unstageable",,,,,,,,,,,,,,,,,,,,,,,,
L89.021,"Pressure ulcer of left elbow, stage 1",,,,,,,,,,,,,,,,,,,,,,,,
L89.022,"Pressure ulcer of left elbow, stage 2",,,,,,,,,,,,,,,,,,,,,,,,
L89.023,"Pressure ulcer of left elbow, stage 3",,,,,,,,,,,,,,,,,,,,,,,,
L89.024,"Pressure ulcer of left elbow, stage 4",,,,,,,,,,,,,,,,,,,,,,,,
L89.029,"Pressure ulcer of left elbow, unspecified stage",,,,,,,,,,,,,,,,,,,,,,,,
L89.100,"Pressure ulcer of unspecified part of back, unstageable",,,,,,,,,,,,,,,,,,,,,,,,
L89.101,"Pressure ulcer of unspecified part of back, stage 1",,,,,,,,,,,,,,,,,,,,,,,,
L89.102,"Pressure ulcer of unspecified part of back, stage 2",,,,,,,,,,,,,,,,,,,,,,,,
L89.103,"Pressure ulcer of unspecified part of back, stage 3",,,,,,,,,,,,,,,,,,,,,,,,
L89.104,"Pressure ulcer of unspecified part of back, stage 4",,,,,,,,,,,,,,,,,,,,,,,,
L89.109,"Pressure ulcer of unspecified part of back, unspecified stage",,,,,,,,,,,,,,,,,,,,,,,,
L89.110,"Pressure ulcer of right upper back, unstageable",,,,,,,,,,,,,,,,,,,,,,,,
L89.111,"Pressure ulcer of right upper back, stage 1",,,,,,,,,,,,,,,,,,,,,,,,
L89.112,"Pressure ulcer of right upper back, stage 2",,,,,,,,,,,,,,,,,,,,,,,,
L89.113,"Pressure ulcer of right upper back, stage 3",,,,,,,,,,,,,,,,,,,,,,,,
L89.114,"Pressure ulcer of right upper back, stage 4",,,,,,,,,,,,,,,,,,,,,,,,
L89.119,"Pressure ulcer of right upper back, unspecified stage",,,,,,,,,,,,,,,,,,,,,,,,
L89.120,"Pressure ulcer of left upper back, unstageable",,,,,,,,,,,,,,,,,,,,,,,,
L89.121,"Pressure ulcer of left upper back, stage 1",,,,,,,,,,,,,,,,,,,,,,,,
L89.122,"Pressure ulcer of left upper back, stage 2",,,,,,,,,,,,,,,,,,,,,,,,
L89.123,"Pressure ulcer of left upper back, stage 3",,,,,,,,,,,,,,,,,,,,,,,,
L89.124,"Pressure ulcer of left upper back, stage 4",,,,,,,,,,,,,,,,,,,,,,,,
L89.129,"Pressure ulcer of left upper back, unspecified stage",,,,,,,,,,,,,,,,,,,,,,,,
L89.130,"Pressure ulcer of right lower back, unstageable",,,,,,,,,,,,,,,,,,,,,,,,
L89.131,"Pressure ulcer of right lower back, stage 1",,,,,,,,,,,,,,,,,,,,,,,,
L89.132,"Pressure ulcer of right lower back, stage 2",,,,,,,,,,,,,,,,,,,,,,,,
L89.133,"Pressure ulcer of right lower back, stage 3",,,,,,,,,,,,,,,,,,,,,,,,
L89.134,"Pressure ulcer of right lower back, stage 4",,,,,,,,,,,,,,,,,,,,,,,,
L89.139,"Pressure ulcer of right lower back, unspecified stage",,,,,,,,,,,,,,,,,,,,,,,,
L89.140,"Pressure ulcer of left lower back, unstageable",,,,,,,,,,,,,,,,,,,,,,,,
L89.141,"Pressure ulcer of left lower back, stage 1",,,,,,,,,,,,,,,,,,,,,,,,
L89.142,"Pressure ulcer of left lower back, stage 2",,,,,,,,,,,,,,,,,,,,,,,,
L89.143,"Pressure ulcer of left lower back, stage 3",,,,,,,,,,,,,,,,,,,,,,,,
L89.144,"Pressure ulcer of left lower back, stage 4",,,,,,,,,,,,,,,,,,,,,,,,
L89.149,"Pressure ulcer of left lower back, unspecified stage",,,,,,,,,,,,,,,,,,,,,,,,
L89.150,"Pressure ulcer of sacral region, unstageable",,,,,,,,,,,,,,,,,,,,,,,,
L89.151,"Pressure ulcer of sacral region, stage 1",,,,,,,,,,,,,,,,,,,,,,,,
L89.152,"Pressure ulcer of sacral region, stage 2",,,,,,,,,,,,,,,,,,,,,,,,
L89.153,"Pressure ulcer of sacral region, stage 3",,,,,,,,,,,,,,,,,,,,,,,,
L89.154,"Pressure ulcer of sacral region, stage 4",,,,,,,,,,,,,,,,,,,,,,,,
L89.159,"Pressure ulcer of sacral region, unspecified stage",,,,,,,,,,,,,,,,,,,,,,,,
L89.200,"Pressure ulcer of unspecified hip, unstageable",,,,,,,,,,,,,,,,,,,,,,,,
L89.201,"Pressure ulcer of unspecified hip, stage 1",,,,,,,,,,,,,,,,,,,,,,,,
L89.202,"Pressure ulcer of unspecified hip, stage 2",,,,,,,,,,,,,,,,,,,,,,,,
L89.203,"Pressure ulcer of unspecified hip, stage 3",,,,,,,,,,,,,,,,,,,,,,,,
L89.204,"Pressure ulcer of unspecified hip, stage 4",,,,,,,,,,,,,,,,,,,,,,,,
L89.209,"Pressure ulcer of unspecified hip, unspecified stage",,,,,,,,,,,,,,,,,,,,,,,,
L89.210,"Pressure ulcer of right hip, unstageable",,,,,,,,,,,,,,,,,,,,,,,,
L89.211,"Pressure ulcer of right hip, stage 1",,,,,,,,,,,,,,,,,,,,,,,,
L89.212,"Pressure ulcer of right hip, stage 2",,,,,,,,,,,,,,,,,,,,,,,,
L89.213,"Pressure ulcer of right hip, stage 3",,,,,,,,,,,,,,,,,,,,,,,,
L89.214,"Pressure ulcer of right hip, stage 4",,,,,,,,,,,,,,,,,,,,,,,,
L89.219,"Pressure ulcer of right hip, unspecified stage",,,,,,,,,,,,,,,,,,,,,,,,
