PAYER NAME,PAYER ID
1st Auto & Casualty,J1585
3P Admin,39081
3P Admin,39081
3P Admin,39081
"6 Degrees Health, Inc.",20446
"6 Degrees Health, Inc.",20446
8th District Elec,74234
21st Century Health and Benefits,59069
21st Century Health and Benefits,59069
21st Century Insurance,41556
90 Degree Benefits,58102
90 Degree Benefits,58102
90 Degree Benefits,58102
1199 National Benefit Fund,13162
1199 National Benefit Fund,13162
1199 National Benefit Fund,13162
A-G Administrators LLC,11370
A-G Administrators LLC,11370
A.W. Holdings LLC Dba Benchmark - CORVEL,J1976
AAA Automobile,11983
"AAA Northern California, Nevada & Utah Insurance Exchange",41556
AAG - American Administrative Group,75240
AAG - American Administrative Group,75240
"AAG Benefit Plan Administrators, Inc.",75240
"AAG Benefit Plan Administrators, Inc.",75240
AARP by UnitedHealthcare,36273
AARP by UnitedHealthcare,36273
AARP Dental Insurance Plan,AARP1
AARP Hospital Indemnity Plans insured by UnitedHealthcare Insurance Company,36273
AARP Hospital Indemnity Plans insured by UnitedHealthcare Insurance Company,36273
AARP Hospital Indemnity Plans insured by UnitedHealthcare Insurance Company,36273
AARP Medicare Supplement Plans insured by UnitedHealthcare Insurance Company,36273
AARP Medicare Supplement Plans insured by UnitedHealthcare Insurance Company,36273
AARP Medicare Supplement Plans insured by UnitedHealthcare Insurance Company,36273
AARP MedicareComplete insured through UnitedHealthcare (formerly AARP MedicareComplete from SecureHorizons),87726
AARP MedicareComplete insured through UnitedHealthcare (formerly AARP MedicareComplete from SecureHorizons),87726
AARP MedicareComplete insured through UnitedHealthcare (formerly AARP MedicareComplete from SecureHorizons),87726
AARP MedicareComplete insured through UnitedHealthcare / Oxford Medicare Network -  AARP MedicareComplete,87726
AARP MedicareComplete insured through UnitedHealthcare / Oxford Medicare Network -  AARP MedicareComplete,87726
AARP MedicareComplete insured through UnitedHealthcare / Oxford Medicare Network -  AARP MedicareComplete,87726
AARP MedicareComplete insured through UnitedHealthcare / Oxford Mosaic Network - AARP MedicareComplete  Mosaic,87726
AARP MedicareComplete insured through UnitedHealthcare / Oxford Mosaic Network - AARP MedicareComplete  Mosaic,87726
AARP MedicareComplete insured through UnitedHealthcare / Oxford Mosaic Network - AARP MedicareComplete  Mosaic,87726
AARP MedicareComplete through UHC / Oxford Medicare Network,AARP-UHC-OMN
AARP MedicareComplete through UHC / Oxford Mosaic Network,AARP-UHC-OXMOS
ABC Const. Company,41556
AblePay Health,ABLEPAY
AblePay Health,ABLPY
AblePay Health,ABLPY
ABRAZO Advantage Health Plan,03443
ABRAZO Advantage Health Plan,03443
Absolute Total Care (Centene),68069
Absolute Total Care (Centene),68069
Absolute Total Care (Centene),68069
Absolute Total Care (Centene),ABSOLUTE-TOTAL
Absolute Total Care (Centene),ABSOLUTE-TOTAL
Acadia Insurance,J1477
Access Administrators,AHS01
Access Administrators,AHS01
Access Behavioral Care,COACC
Access Community Health Network,ACCOM
Access Health Plans,91026
Access Health Plans,91026
Access Integra,INTEG
Access IPA,ACC01
Access IPA,ACC01
Access IPA,ACC01
Access Medical Group,AMG02
Access Medical Group,AMG02
Access Medical Group,AMG02
Access Primary Care Medical Group (APCMG),NMM01
Access Primary Care Medical Group (APCMG),NMM01
Access Primary Care Medical Group (APCMG),NMM01
Access Santa Monica,AMG02
Access Santa Monica,AMG02
Access Santa Monica,AMG02
Accident Fund,J1790
Acclaim,64071
Acclaim,64071
Acclaim IPA,IP095
Acclaim IPA,IP095
Acclaim IPA (MHCAC),IP095
Acclaim IPA (MHCAC),IP095
Accountable Healthcare IPA (AHCIPA),AHIPA
Accountable Healthcare IPA (AHCIPA),AHIPA
Accuride Corporation,J1024
Ace Property & Casualty Ins Co,41556
Ace Property & Casualty Ins Co Medicare Supplement,96821
ACIG Insurance Company,J1578
"ACS Benefit Services, Inc.",72467
"ACS Benefit Services, Inc.",72467
ACTIN Care Groups / Clifton Health Systems,24585
ACTIN Care Groups / Clifton Health Systems,24585
"Active Care, Inc",J3840
ActivHealthCare,AHC01
ActivHealthCare,AHC01
Activia Benefit Services,38254
Activia Benefit Services,38254
Activia Benefit Services,38254
"Acuity, A Mutual Insurance Company",J1240
AD-COMP - CORVEL,J1667
Adelanto Correctional Facility (CA) - CORVEL,J1798
Admin One LLC,87871
Admin One LLC,87871
Administaff,J1241
Administration Systems Research Corp,38265
Administration Systems Research Corp,38265
