"File Path","Type","Severity","Message","Suggestion"
"resources\js\Layouts\MainLayout.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\SimpleAddressInput.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\SimpleAddressInput.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Select.tsx","missing-glass-theme-import","warning","Component uses glass theme utilities but does not import them","Add: import { themes, cn } from ""@/theme/glass-theme"";"
"resources\js\Components\Select.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\PayerSearchInput.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\PayerSearchInput.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\PayerSearchInput.tsx","responsive-theme-without-context","warning","Component uses dark:/light: classes but may not have proper theme context","Ensure component is wrapped in ThemeProvider or import useTheme"
"resources\js\Components\PageHeader.tsx","missing-glass-theme-import","warning","Component uses glass theme utilities but does not import them","Add: import { themes, cn } from ""@/theme/glass-theme"";"
"resources\js\Components\PageHeader.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Modal.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\Modal.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Input.tsx","missing-glass-theme-import","warning","Component uses glass theme utilities but does not import them","Add: import { themes, cn } from ""@/theme/glass-theme"";"
"resources\js\Components\Input.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
